date,steps,min_temp ,max_temp,rainfall,evaporation,sunshine ,wind_gust_dir,wind_gust_speed,wind_gust_time,temp_9am,humidity_9am,cloud_9am,wind_dir_9am,wind_speed_9am,pressure_9am,temp_3pm,humidity_3pm,cloud_3pm,wind_dir_3pm,wind_speed_3pm,pressure_3pm
2024-11-23,9372,16.3,31.4,0,,,NE,35,15:57,23.9,65,,ENE,6,,30.8,40,,ENE,13,
2024-11-24,6480,16.9,31.7,0,,,E,33,16:39,26,53,,ESE,7,,29.6,36,,E,19,
2024-11-25,7647,17.7,29.5,0,,,NE,33,16:14,24.4,66,,E,6,,28.9,51,,E,17,
2024-11-26,11807,18.7,33.2,0,,,E,30,13:46,26,64,,NNW,6,,32.2,46,,ENE,17,
2024-11-27,8300,19.4,38.6,0,,,WNW,57,15:48,31.4,37,,NW,15,,37.5,23,,NNW,13,
2024-11-28,5335,21.7,30.6,1.4,,,SE,31,17:03,28.5,52,,SSW,6,,28.2,63,,NNW,7,
2024-11-29,5326,21,22.9,3.6,,,SE,24,10:16,21.5,87,,SSE,13,,21.2,96,,SSE,7,
2024-11-30,5285,20.9,26,27.6,,,NE,24,8:42,22.6,91,,ENE,9,,24.6,83,,ENE,9,
2024-12-1,5762,20.6,32.5,0.8,,,NW,43,13:22,25.5,73,,W,7,,24,79,,E,13,
2024-12-2,8140,17.1,36.1,5.6,,,NNW,35,13:11,27.1,59,,NW,9,,34.9,21,,SSW,9,
2024-12-3,4374,19.7,34.2,0,,,NW,46,11:21,28.9,50,,E,6,,29,52,,NW,20,
2024-12-4,3102,21.5,25.9,0,,,SSE,37,4:34,22.9,71,,SSE,13,,24.5,63,,E,17,
2024-12-5,4293,20.3,27.6,0,,,E,33,14:40,22.4,76,,ENE,4,,26.9,65,,ESE,13,
2024-12-6,8694,21.9,31,0,,,ESE,28,13:57,26.9,72,,SE,6,,29.7,62,,ESE,19,
2024-12-7,4011,22.4,30.5,9.6,,,WNW,31,20:33,24.7,90,,NNW,6,,26,97,,NW,7,
2024-12-8,8112,20.9,30.9,11.8,,,SE,37,10:54,26.8,70,,ENE,9,,22.6,79,,SE,20,
2024-12-9,6637,18.5,24,0.2,,,NNE,28,16:52,21.7,73,,E,11,,23.6,71,,NE,11,
2024-12-10,7467,19.9,25.6,0,,,SE,41,12:38,23.1,73,,ESE,7,,24.3,58,,SE,22,
2024-12-11,7663,20,26.6,0,,,E,31,16:07,22,70,,W,2,,25.9,59,,E,15,
2024-12-12,8453,16.8,32,0,,,E,31,13:14,24.1,55,,WSW,7,,28.2,35,,E,20,
2024-12-13,3059,20.7,33.6,0,,,SSE,44,20:18,25.1,68,,W,9,,31.8,51,,E,19,
2024-12-14,3034,21.6,28.8,0,,,E,28,13:45,24.1,68,,SE,9,,27.7,62,,E,19,
2024-12-15,8364,21.6,28.1,0,,,E,35,12:33,24.3,80,,SE,9,,27.4,65,,ESE,20,
2024-12-16,7679,22.6,31.3,0,,,NE,46,16:43,27,69,,E,9,,30.3,60,,E,17,
2024-12-17,7962,20.5,36.5,0,,,SE,56,16:41,28.1,65,,NNE,11,,35.7,35,,E,15,
2024-12-18,2780,17.2,22.9,7,,,SSE,54,15:55,18.4,83,,S,9,,22.3,49,,SSE,26,
2024-12-19,5710,16.9,23.9,2.6,,,ESE,43,14:57,22.1,50,,ESE,17,,22.6,48,,SE,22,
2024-12-20,8320,16.3,26.1,0.2,,,ESE,30,13:28,21.5,54,,SW,9,,24.9,45,,ESE,19,
2024-12-21,8500,15.7,33.2,0,,,SE,37,16:25,23.5,62,,W,9,,27.9,51,,E,20,
2024-12-22,13005,20.3,27.3,0,,,E,33,13:48,22.2,61,,E,6,,26,55,,E,20,
2024-12-23,13151,21,29.9,0,,,WNW,52,10:58,26.4,33,,W,11,,29.7,11,,WNW,19,
2024-12-24,8410,12.9,24.9,0,,,ESE,35,11:49,20.6,37,,SW,9,,23.4,36,,SE,17,
2024-12-25,5962,15.3,29.3,0,,,E,37,15:39,22.9,56,,NW,9,,28.6,41,,E,15,
2024-12-26,12179,18.1,31.3,0,,,E,39,16:03,25.2,59,,NNE,7,,29.9,50,,ENE,15,
2024-12-27,3230,21.1,38.2,1.4,,,NW,50,10:54,21.3,85,,NW,9,,37.7,28,,NW,17,
2024-12-28,8311,18.8,26.8,0.2,,,E,35,14:12,23.3,62,,ESE,9,,25.3,58,,E,22,
2024-12-29,12153,16,30.1,0,,,E,39,13:29,24.5,46,,W,9,,27.5,34,,E,20,
2024-12-30,5483,18.7,27.6,0,,,ESE,37,15:00,24,60,,ESE,9,,26.6,54,,E,20,
2024-12-31,3028,19,28.3,0,,,ESE,35,13:46,23.8,76,,SSE,9,,27,62,,ESE,19,
2025-01-01,2666,21,32.3,0,,,E,35,14:55,25.4,63,,ENE,9,,30.4,44,,E,20,
2025-01-02,4000,21.1,23.7,0,,,SSE,46,1:16,21.5,64,,SSE,20,,22.2,62,,SSE,15,
2025-01-03,6640,17.2,26.1,0.8,,,ENE,31,18:36,21.6,75,,ENE,4,,24.7,57,,E,17,
2025-01-04,4524,19,30.6,0,,,E,35,13:41,24.9,56,,NNW,9,,29,47,,ENE,15,
2025-01-05,9841,18.8,34.3,0,,,E,28,14:07,26.2,60,,WNW,2,,33.6,37,,E,17,
